company_name,company_number,registered_locality,date_of_creation,primary_sic_category,sic_categories,core_score,cross_ref_promote,alignment_score,combined_score,stage_estimate,stage_confidence,why_selected,risk_flags
APOLLO AP47 LIMITED,15927448,CAMBRIDGE,2024-08-29,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ALVEOGENE LIMITED,14342459,OXFORD,2022-09-06,Biotech,{Biotech},45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
OUTSEE LIMITED,14388773,CAMBRIDGE,2022-09-29,Biotech,{Biotech},45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
PHYNOVA PRC LTD,16507937,BANBURY,2025-06-09,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CELLFACTORY UK LTD,15906928,SHEFFIELD,2024-08-19,Biotech,{Biotech},46,f,32,78,seed,medium,"[""at least one director"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
GLOBAL HEALTHY HR ACADEMY LTD,16514103,LONDON,2025-06-11,Deep R&D,"{""AI & Software"",""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP39 LIMITED,14395980,CAMBRIDGE,2022-10-03,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
NEOVAC LTD,13606487,ABINGDON,2021-09-06,Biotech,{Biotech},45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
HYPERNATURE LIMITED,15143597,LONDON,2023-09-17,Deep R&D,"{""Data & Cloud"",""Deep R&D""}",54,f,24,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity""]","[""no PSC data""]"
DATAFLIGHT SOLUTIONS LTD,15648163,ABINGDON,2024-04-14,Biotech,"{""AI & Software"",Biotech,""Data & Cloud"",""Deep R&D""}",49,f,29,78,post-seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
