company_number,core_score,sic_score,keyword_score,cluster_score,recency_score,confidence_band,promotion_reason,promoted_to_enrichment,screened_at,cross_ref_promote,primary_sic_category,sic_categories,keyword_categories,sector_categories
14694604,42,25,0,17,0,medium,,t,2026-03-31 15:21:42.565231,f,Deep R&D,"{""AI & Software"",""Deep R&D""}",{},"{""AI & Software"",""Deep R&D""}"
17054201,29,0,12,17,0,low,,t,2026-03-31 15:44:36.894242,f,,{},{},{}
15576900,46,28,1,17,0,medium,,t,2026-03-31 15:25:12.118208,f,Deep R&D,"{""Deep R&D"",""EV & Automotive""}",{},"{""Deep R&D"",""EV & Automotive""}"
13558857,47,25,22,0,0,medium,,t,2026-03-31 15:19:00.926414,f,Biotech,{Biotech},{Biotech},{Biotech}
15324596,29,0,12,17,0,low,,t,2026-03-31 15:24:03.031009,f,,{},{},{}
16990658,22,8,14,0,0,low,,t,2026-03-31 15:43:12.962014,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
16573240,43,26,0,17,0,medium,,t,2026-03-31 15:35:21.113803,f,Biotech,"{Biotech,HealthTech}",{},"{Biotech,HealthTech}"
16913885,44,25,2,17,0,medium,,t,2026-03-31 15:41:23.423895,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
13763654,47,25,22,0,0,medium,,t,2026-03-31 15:19:36.915869,f,Biotech,{Biotech},{Biotech},{Biotech}
15773998,39,20,8,11,0,low,,t,2026-03-31 15:26:21.169675,f,AI & Software,"{""AI & Software"",Defence}",{},"{""AI & Software"",Defence}"
16983689,45,25,0,20,0,medium,,t,2026-03-31 15:42:59.185626,f,Space & Aero,"{""Space & Aero""}",{},"{""Space & Aero""}"
15765656,24,8,16,0,0,low,,t,2026-03-31 15:26:14.682534,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
16078953,35,10,25,0,0,low,,t,2026-03-31 15:28:47.014789,f,HealthTech,{HealthTech},"{""AI & Software"",Biotech}","{""AI & Software"",Biotech,HealthTech}"
16505720,48,25,3,20,0,medium,,t,2026-03-31 15:34:22.699745,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
15341112,23,8,15,0,0,low,,t,2026-03-31 15:24:06.077967,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
15898325,47,25,22,0,0,medium,,t,2026-03-31 15:27:11.60255,f,Biotech,{Biotech},{Biotech},{Biotech}
13638932,29,0,12,17,0,low,,t,2026-03-31 15:19:17.178372,f,,{},{},{}
16345509,44,15,12,17,0,medium,,t,2026-03-31 15:31:53.00881,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
14089576,24,10,14,0,0,low,,t,2026-03-31 15:20:14.985568,f,CleanTech,{CleanTech},{},{CleanTech}
13833774,29,0,12,17,0,low,,t,2026-03-31 15:19:45.234546,f,,{},{CleanTech},{CleanTech}
14558665,43,26,0,17,0,medium,,t,2026-03-31 15:21:19.274105,f,Biotech,"{Biotech,""Deep R&D""}",{},"{Biotech,""Deep R&D""}"
16612391,47,25,2,20,0,medium,,t,2026-03-31 15:35:56.159896,f,Biotech,{Biotech},{},{Biotech}
16667446,29,0,12,17,0,low,,t,2026-03-31 15:36:45.394397,f,,{},{},{}
14891792,31,0,14,17,0,low,,t,2026-03-31 15:22:21.758787,f,,{},{},{}
13566060,27,13,14,0,0,low,,t,2026-03-31 15:19:01.806361,f,Hardware,{Hardware},{},{Hardware}
16925156,66,25,24,17,0,high,,t,2026-03-31 15:41:38.471543,f,Biotech,"{""AI & Software"",Biotech}",{Biotech},"{""AI & Software"",Biotech}"
13864723,29,0,12,17,0,low,,t,2026-03-31 15:19:48.750792,f,,{},{},{}
15638463,49,28,1,20,0,medium,,t,2026-03-31 15:25:30.42349,f,Deep R&D,"{CleanTech,""Deep R&D""}",{},"{CleanTech,""Deep R&D""}"
16692558,29,0,12,17,0,low,,t,2026-03-31 15:37:09.800334,f,,{},{},{}
16411341,29,0,12,17,0,low,,t,2026-03-31 15:32:47.654967,f,,{},{},{}
16785990,24,8,16,0,0,low,,t,2026-03-31 15:38:57.191791,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
